train,model,fixed_epoch,rebel,lagrange,tum_full,tum_p99
base,Gemma3-1B,-,0.1338,0.2210,0.1374,0.1421
base,Qwen2.5-1.5B,-,0.1905,0.2866,0.2156,0.2324
base,Llama3.2-1B,-,0.0824,0.1419,0.0842,0.0862
rebel,Gemma3-1B,4,0.6826,0.4403,0.4136,0.4197
rebel,Qwen2.5-1.5B,4,0.6820,0.4597,0.4173,0.4142
rebel,Llama3.2-1B,5,0.6869,0.4408,0.4360,0.4350
lagrange,Gemma3-1B,6,0.4107,0.8333,0.4982,0.5059
lagrange,Qwen2.5-1.5B,6,0.4294,0.8409,0.5152,0.5269
lagrange,Llama3.2-1B,7,0.4190,0.8354,0.5113,0.5257
tekgen,Gemma3-1B,3,0.4133,0.5790,0.5077,0.5122
tekgen,Qwen2.5-1.5B,3,0.3967,0.5749,0.4945,0.5050
tekgen,Llama3.2-1B,3,0.4214,0.5747,0.5078,0.5190
tum_full,Gemma3-1B,6,0.4334,0.4837,0.7743,0.7911
tum_full,Qwen2.5-1.5B,6,0.4302,0.5209,0.8008,0.8144
tum_full,Llama3.2-1B,6,0.4265,0.4828,0.7871,0.8021
tum_p99,Gemma3-1B,6,0.4190,0.5044,0.7840,0.7874
tum_p99,Qwen2.5-1.5B,4,0.4405,0.5181,0.8031,0.8104
tum_p99,Llama3.2-1B,6,0.4382,0.5011,0.7918,0.8006
tum_p99_new,Gemma3-1B,6,0.4725,0.5024,0.9106,0.8784
tum_p99_new,Qwen2.5-1.5B,7,0.4754,0.5068,0.9256,0.8970
tum_p99_new,Llama3.2-1B,6,0.4735,0.5072,0.9041,0.8819
