train,model,fixed_epoch,rebel,lagrange,tum_full,tum_p99
base,Gemma3-1B,-,0.1243,0.2084,0.1194,0.1242
base,Qwen2.5-1.5B,-,0.1815,0.3037,0.1968,0.2049
base,Llama3.2-1B,-,0.0626,0.1202,0.0654,0.0649
rebel,Gemma3-1B,4,0.6776,0.4331,0.3926,0.3915
rebel,Qwen2.5-1.5B,4,0.6852,0.4552,0.4031,0.3926
rebel,Llama3.2-1B,5,0.6868,0.4286,0.4156,0.4106
lagrange,Gemma3-1B,6,0.3971,0.8281,0.4694,0.4719
lagrange,Qwen2.5-1.5B,6,0.4238,0.8378,0.4947,0.5054
lagrange,Llama3.2-1B,7,0.4092,0.8325,0.4914,0.4933
tekgen,Gemma3-1B,3,0.3714,0.5543,0.4571,0.4553
tekgen,Qwen2.5-1.5B,3,0.3571,0.5469,0.4435,0.4472
tekgen,Llama3.2-1B,3,0.3713,0.5432,0.4470,0.4590
tum_full,Gemma3-1B,6,0.4143,0.4771,0.7159,0.7344
tum_full,Qwen2.5-1.5B,6,0.4234,0.5158,0.7488,0.7662
tum_full,Llama3.2-1B,6,0.4110,0.4726,0.7334,0.7482
tum_p99,Gemma3-1B,6,0.4125,0.4999,0.7281,0.7274
tum_p99,Qwen2.5-1.5B,4,0.4294,0.5138,0.7534,0.7599
tum_p99,Llama3.2-1B,6,0.4114,0.4846,0.7389,0.7472
